read_code,term_description,status_flag,Decision
dq9..,APOMORPHINE HYDROCHLORIDE,0,1
dq91.,*BRITAJECT 20mg/2mL injection,1,1
dq92.,APOMORPHINE HYDROCHLORIDE 20mg/2mL injection,0,1
dq93.,*BRITAJECT 50mg/5mL injection,1,1
dq94.,APOMORPHINE HYDROCHLORIDE 50mg/5mL injection,0,1
dq95.,APOMORPHINE HYDROCHLORIDE 30mg/3mL prefilled pen,0,1
dq96.,BRITAJECT 30mg/3mL prefilled pen,1,1
dq97.,APO-GO 20mg/2mL injection,0,1
dq98.,APO-GO 50mg/5mL injection,0,1
dq99.,APO-GO 30mg/3mL prefilled pen,0,1
dq9A.,APO-GO PFS 50mg/10mL injection solution prefilled syringe,0,1
dq9z.,APOMORPHINE HYDROCHLORIDE 50mg/10mL prefilled syringe,0,1
dqA..,ROPINIROLE HYDROCHLORIDE,0,1
dqA1.,ROPINIROLE 0.25mg tablets,0,1
dqA2.,ROPINIROLE 1mg tablets,0,1
dqA3.,ROPINIROLE 2mg tablets,0,1
dqA4.,ROPINIROLE 5mg tablets,0,1
dqA5.,*REQUIP 0.25mg tablets,1,1
dqA6.,REQUIP 1mg tablets,0,1
dqA7.,REQUIP 2mg tablets,0,1
dqA8.,REQUIP 5mg tablets,0,1
dqA9.,ROPINIROLE 250micrograms+500micrograms+1000micrograms tablets starter pack,0,1
dqAa.,ROPINIROLE 500micrograms+1mg+2mg tablets follow on pack,0,1
dqAb.,REQUIP tablets starter pack,0,1
dqAc.,REQUIP tablets follow-on pack,0,1
dqAd.,ADARTREL 2mg tablets,0,1
dqAe.,ROPINIROLE 500micrograms tablets,0,1
dqAf.,ADARTREL 500micrograms tablets,0,1
dqAg.,REQUIP XL 2mg m/r tablets,0,1
dqAh.,REQUIP XL 4mg m/r tablets,0,1
dqAi.,REQUIP XL 8mg m/r tablets,0,1
dqAj.,ROPINIROLE 2mg m/r tablets,0,1
dqAk.,ROPINIROLE 4mg m/r tablets,0,1
dqAl.,ROPINIROLE 8mg m/r tablets,0,1
dqAm.,REPINEX XL 2mg m/r tablets,0,1
dqAn.,REPINEX XL 4mg m/r tablets,0,1
dqAo.,REPINEX XL 8mg m/r tablets,0,1
dqAp.,RAPONER XL 2mg m/r tablets,0,1
dqAq.,RAPONER XL 3mg m/r tablets,0,1
dqAr.,ROPINIROLE 3mg m/r tablets,0,1
dqAs.,RAPONER XL 4mg m/r tablets,0,1
dqAt.,RAPONER XL 6mg m/r tablets,0,1
dqAu.,ROPINIROLE 6mg m/r tablets,0,1
dqAv.,RAPONER XL 8mg m/r tablets,0,1
dqAw.,AIMPART XL 2mg m/r tablets,0,1
dqAx.,AIMPART XL 4mg m/r tablets,0,1
dqAy.,AIMPART XL 8mg m/r tablets,0,1
dqB..,CABERGOLINE [PARKINSONS],0,1
dqB1.,CABERGOLINE 1mg tablets,0,1
dqB2.,CABERGOLINE 2mg tablets,0,1
dqB3.,CABERGOLINE 4mg tablets,0,1
dqB4.,CABASER 1mg tablets,0,1
dqB5.,CABASER 2mg tablets,0,1
dqB6.,*CABASER 4mg tablets,1,1
dqD..,ENTACAPONE,0,1
dqD1.,ENTACAPONE 200mg tablets,0,1
dqD2.,COMTESS 200mg tablets,0,1
dqE..,PRAMIPEXOLE,0,1
dqE1.,MIRAPEXIN 88micrograms tablets,0,1
dqE2.,MIRAPEXIN 180micrograms tablets,0,1
dqE3.,MIRAPEXIN 700micrograms tablets,0,1
dqE4.,MIRAPEXIN 350micrograms tablets,0,1
dqE5.,MIRAPEXIN 260micrograms m/r tablets,0,1
dqE6.,MIRAPEXIN 520micrograms m/r tablets,0,1
dqE7.,MIRAPEXIN 1.05mg m/r tablets,0,1
dqE8.,MIRAPEXIN 2.1mg m/r tablets,0,1
dqE9.,MIRAPEXIN 3.15mg m/r tablets,0,1
dqEA.,MIRAPEXIN 1.57mg m/r tablets,0,1
dqEB.,MIRAPEXIN 2.62mg m/r tablets,0,1
dqEo.,PRAMIPEXOLE 1.1mg tablets,0,1
dqEp.,PRAMIPEXOLE 2.62mg m/r tablets,0,1
dqEq.,PRAMIPEXOLE 1.57mg m/r tablets,0,1
dqEr.,PRAMIPEXOLE 3.15mg m/r tablets,0,1
dqEs.,PRAMIPEXOLE 2.1mg m/r tablets,0,1
dqEt.,PRAMIPEXOLE 1.05mg m/r tablets,0,1
dqEu.,PRAMIPEXOLE 520micrograms m/r tablets,0,1
dqEv.,PRAMIPEXOLE 260micrograms m/r tablets,0,1
dqEw.,PRAMIPEXOLE 350micrograms tablets,0,1
dqEx.,PRAMIPEXOLE 88micrograms tablets,0,1
dqEy.,PRAMIPEXOLE 180micrograms tablets,0,1
dqEz.,PRAMIPEXOLE 700micrograms tablets,0,1
dqF..,RASAGILINE,0,1
dqF1.,AZILECT 1mg tablets,0,1
dqFz.,RASAGILINE 1mg tablets,0,1
ei2..,AMANTADINE HYDROCHLORIDE [ANTI VIRAL],0,0
ei21.,*SYMMETREL 100mg capsules,1,1
ei22.,*SYMMETREL 50mg/5mL syrup,1,1
ei23.,*AMANTADINE 100mg capsules,1,1
ei24.,*AMANTADINE 50mg/5mL syrup,1,1
ei2y.,AMANTADINE HYDROCHLORIDE 100mg capsules,0,1
ei2z.,AMANTADINE HYDROCHLORIDE 50mg/5mL syrup,0,1
fp...,BROMOCRIPTINE [ENDOCRINE],0,0
fp1..,BROMOCRIPTINE [ENDOCRINE],0,0
fp11.,*PARLODEL 1mg tablets,1,1
fp12.,*PARLODEL 2.5mg tablets,1,1
fp13.,BROMOCRIPTINE 2.5mg tablets,0,1
fp14.,PARLODEL 10mg capsules,0,1
fp15.,BROMOCRIPTINE 10mg capsules,0,1
fp1y.,BROMOCRIPTINE 1mg tablets,0,1
fp1z.,BROMOCRIPTINE 5mg capsules,0,1
fu1..,CABERGOLINE,0,1
fu11.,CABERGOLINE 500micrograms tablets,0,1
gh6..,APOMORPHINE HYDROCHLORIDE [ERECTILE DYSFUNCTION],0,0
gh61.,APOMORPHINE HYDROCHLORIDE 2mg sublingual tablets,1,1
gh62.,APOMORPHINE HYDROCHLORIDE 3mg sublingual tablets,1,1
