PheWAS_ID,broad_catagory,category,phenotype,range_ID,sex,field_code,QC_flag_ID,QC_filter_values,first_last_max_min_value,date_code,age_code,case_code,control_code,exclude_case_control_crossover,included_in_analysis,quant_combination,primary_care_code_list,limits,lower_limit,upper_limit,transformation,analysis,age_col,pheno_group,short_desc,group_narrow,concept_name,concept_description,Notes
P2010,Phenotype,Composite_phenotype,Ventricular arrhythmias,R_89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Ventricular arrhythmias (CP),Safety,NA,NA,NA
P2011,Phenotype,Composite_phenotype,Sudden cardiac death,R_89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Sudden cardiac death (CP),Safety,NA,NA,NA
P2012,Phenotype,Composite_phenotype,Acute coronary syndrome,R_85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Acute coronary syndrome (CP),Safety,NA,NA,NA
P2013,Phenotype,Composite_phenotype,Myocardial infarction,R_85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Myocardial infarction (CP),Safety,NA,NA,NA
P2014,Phenotype,Composite_phenotype,Agranulocytosis/neutropaenia,R_58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Agranulocytosis/neutropaenia (CP),Safety,NA,NA,NA
P2015,Phenotype,Composite_phenotype,Aplastic anaemia,R_56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Aplastic anaemia (CP),Safety,NA,NA,NA
P2016,Phenotype,Composite_phenotype,Bleeding events,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Bleeding events (CP),Safety,NA,NA,NA
P2017,Phenotype,Composite_phenotype,Acute angle closure glaucoma,R_73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Acute angle closure glaucoma (CP),Safety,NA,NA,NA
P2018,Phenotype,Composite_phenotype,Hearing loss,R_82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Hearing loss (CP),Safety,NA,NA,NA
P2019,Phenotype,Composite_phenotype,Anaphylactic reactions,R_225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Anaphylactic reactions (CP),Safety,NA,NA,NA
P2020,Phenotype,Composite_phenotype,Asthma,R_99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Asthma (CP),Safety,NA,NA,NA
P2021,Phenotype,Composite_phenotype,Acute urinary retention,R_127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Acute urinary retention (CP),Safety,NA,NA,NA
P2022,Phenotype,Composite_phenotype,Rhabdomyolysis,R_194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Safety,Rhabdomyolysis (CP),Safety,NA,NA,NA
P2023,Phenotype,Composite_phenotype,Parkinson's disease (+ medication),R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Parkinson's disease (+ medication)  (CP),Neurological,NA,NA,NA
P2024,Phenotype,Composite_phenotype,Parkinson's disease simple,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Parkinson's disease simple (CP),Neurological,NA,NA,NA
P2025,Phenotype,Composite_phenotype,Motor neuron disease,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Motor neuron disease (CP),Neurological,NA,NA,NA
P2026,Phenotype,Composite_phenotype,Alzheimer's disease,R_60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Alzheimer's disease (CP),Neurological,NA,NA,NA
P2029,Phenotype,Composite_phenotype,Gastrointestinal bleed,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Digestive,Gastrointestinal bleed (CP),Digestive,NA,NA,NA
P2030,Phenotype,Composite_phenotype,Cerebral haemorrhage,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Cerebral haemorrhage (CP),Neurological,NA,NA,NA
P2031,Phenotype,Composite_phenotype,Haemarthrosis,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Musculoskeletal,Haemarthrosis (CP),Musculoskeletal,NA,NA,NA
P2032,Phenotype,Composite_phenotype,Haemothorax,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Injuries & poisonings,Haemothorax (CP),Injuries & poisonings,NA,NA,NA
P2034,Phenotype,Composite_phenotype,Carpal tunnel syndrome,R_71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Carpal tunnel syndrome (CP),Neurological,NA,NA,NA
P2035,Phenotype,Composite_phenotype,Diabetes mellitus,R_42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Endocrine/Metabolic,Diabetes mellitus (CP),Endocrine/Metabolic,NA,NA,NA
P2035.1,Phenotype,Composite_phenotype,Type 1 diabetes,R_42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Endocrine/Metabolic,Type 1 diabetes (CP),Endocrine/Metabolic,NA,NA,NA
P2035.2,Phenotype,Composite_phenotype,Type 2 diabetes,R_42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Endocrine/Metabolic,Type 2 diabetes (CP),Endocrine/Metabolic,NA,NA,NA
P2038,Phenotype,Composite_phenotype,Guillain-Barre syndrome,R_72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Guillain-Barre syndrome (CP),Neurological,NA,NA,NA
P2039,Phenotype,Composite_phenotype,Human immunodeficiency virus [HIV],R_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Infectious diseases,HIV (CP),Infectious diseases,NA,NA,NA
P2040,Phenotype,Composite_phenotype,Huntington's Disease,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Huntington's Disease (CP),Neurological,NA,NA,NA
P2041,Phenotype,Composite_phenotype,Leprosy,R_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Infectious diseases,Leprosy (CP),Infectious diseases,NA,NA,NA
P2042,Phenotype,Composite_phenotype,Multiple sclerosis,R_67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Multiple sclerosis (CP),Neurological,NA,NA,NA
P2003.1,Phenotype,Composite_phenotype,Hemorrhagic stroke,R_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Hemorrhagic stroke (CP),Neurological,NA,NA,NA
P2003.2,Phenotype,Composite_phenotype,Ischemic stroke,R_91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Ischemic stroke (CP),Neurological,NA,NA,NA
P2054,Phenotype,Composite_phenotype,Chronic obstructive pulmonary disease (COPD clinical codes),R_99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,COPD (clinical codes) (CP),Respiratory,NA,NA,NA
P2055,Phenotype,Composite_phenotype,Bronchiectasis,R_99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,Bronchiectasis (CP),Respiratory,NA,NA,NA
P2056,Phenotype,Composite_phenotype,Alpha-1 antitrypsin deficiency,R_99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,AATD (CP),Respiratory,NA,NA,NA
P2057,Phenotype,Composite_phenotype,Ever smoked,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Behaviour,Ever smoked (CP),Behaviour,NA,NA,NA
P2058,Phenotype,Composite_phenotype,Family history Prostate cancer,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neoplasms,Family history Prostate cancer (CP),Neoplasms,NA,NA,NA
P2059,Phenotype,Composite_phenotype,Family history Severe depression,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Psychiatric disorders,Family history Severe depression (CP),Psychiatric disorders,NA,NA,NA
P2060,Phenotype,Composite_phenotype,Family history Parkinson's disease,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Family history Parkinson's disease (CP),Neurological,NA,NA,NA
P2061,Phenotype,Composite_phenotype,Family history Alzheimer's disease/dementia,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Family history Alzheimer's disease/dementia (CP),Neurological,NA,NA,NA
P2062,Phenotype,Composite_phenotype,"Family history Diabetes	",R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Endocrine/Metabolic,Family history Diabetes (CP),Endocrine/Metabolic,NA,NA,NA
P2063,Phenotype,Composite_phenotype,Family history High blood pressure,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Circulatory system,Family history High blood pressure (CP),Circulatory system,NA,NA,NA
P2064,Phenotype,Composite_phenotype,Family history Chronic bronchitis/emphysema,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,Family history Chronic bronchitis/emphysema (CP),Respiratory,NA,NA,NA
P2065,Phenotype,Composite_phenotype,Family history Breast cancer,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neoplasms,Family history Breast cancer (CP),Neoplasms,NA,NA,NA
P2066,Phenotype,Composite_phenotype,Family history Bowel cancer,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neoplasms,Family history Bowel cancer (CP),Neoplasms,NA,NA,NA
P2067,Phenotype,Composite_phenotype,Family history Lung cancer,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neoplasms,Family history Lung cancer (CP),Neoplasms,NA,NA,NA
P2068,Phenotype,Composite_phenotype,Family history Stroke,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Family history Stroke (CP),Neurological,NA,NA,NA
P2069,Phenotype,Composite_phenotype,Family history Heart disease,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Circulatory system,Family history Heart disease (CP),Circulatory system,NA,NA,NA
P2070,Phenotype,Composite_phenotype,Tinnitus,R_82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Sense organs,Tinnitus (CP),Sense organs,NA,NA,NA
P2071,Phenotype,Composite_phenotype,Tinnitus (severe),R_82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Sense organs,Tinnitus (severe) (CP),Sense organs,NA,NA,NA
P2072,Phenotype,Composite_phenotype,Chronic dry cough,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Symptoms,Chronic dry cough (CP),Symptoms,NA,NA,NA
P2073,Phenotype,Composite_phenotype,Irritable Bowel Syndrome,R_116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Digestive,IBS (CP),Digestive,NA,NA,NA
P2073.1,Phenotype,Composite_phenotype,Irritable Bowel Syndrome (whole pop controls),R_116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Digestive,IBS (CP) (whole pop controls),Digestive,NA,NA,NA
P2074,Phenotype,Composite_phenotype,Eosinophilia (case control >=0.3),R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Haematopoietic,Eosinophilia (>=0.3)  (CP),Haematopoietic,NA,NA,NA
P2075,Phenotype,Composite_phenotype,Emphysema,R_99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,Emphysema (CP),Respiratory,NA,NA,NA
P2210,Phenotype,Composite_phenotype,Migraine (primary care),R_69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neurological,Migraine (primary care) (CP),Neurological,NA,NA,NA
P2054.1,Phenotype,formula_phenotype,Chronic obstructive pulmonary disease age of onset,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,age,Respiratory,COPD age of onset (FP),Respiratory,NA,NA,NA
P2076,Phenotype,Composite_phenotype,Chronic obstructive pulmonary disease  (spirometry GOLD1+),R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,COPD (GOLD1+ spiro) (CP),Respiratory,NA,NA,NA
P2077.1,Phenotype,formula_phenotype,Chronic obstructive pulmonary disease exacerbations (HES only),R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,COPD exacerbations (HES only) (FP),Respiratory,NA,NA,NA
P2077.2,Phenotype,formula_phenotype,Chronic obstructive pulmonary disease (HES + primary care),R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Respiratory,COPD exacerbations (HES + primary care) (FP),Respiratory,NA,NA,NA
P3000,Phenotype,Composite_phenotype,Serious Infection (sepsis),R_232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Infectious diseases,Serious Infection (sepsis) (HES) (CP),Infectious diseases,NA,NA,NA
P3001,Phenotype,Composite_phenotype,Common cancers,R_0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,binary,age,Neoplasms,Common cancers (HES) (CP),Neoplasms,NA,NA,NA
Q1001,Phenotype,data_field_phenotype,3-Hydroxybutyrate,R_0,NA,23474,23774,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,3-Hydroxybutyrate (DFP),Metabolomics,NA,NA,NA
Q1002,Phenotype,data_field_phenotype,Acetate,R_0,NA,23475,23775,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Acetate (DFP),Metabolomics,NA,NA,NA
Q1003,Phenotype,data_field_phenotype,Acetoacetate,R_0,NA,23476,23776,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Acetoacetate (DFP),Metabolomics,NA,NA,NA
Q1004,Phenotype,data_field_phenotype,Acetone,R_0,NA,23477,23777,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Acetone (DFP),Metabolomics,NA,NA,NA
Q1005,Phenotype,data_field_phenotype,Alanine,R_0,NA,23460,23760,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Alanine (DFP),Metabolomics,NA,NA,NA
Q1006,Phenotype,data_field_phenotype,Albumin,R_0,NA,23479,23779,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Albumin (DFP),Metabolomics,NA,NA,NA
Q1007,Phenotype,data_field_phenotype,Apolipoprotein A1,R_0,NA,23440,23740,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Apolipoprotein A1 (DFP),Metabolomics,NA,NA,NA
Q1008,Phenotype,data_field_phenotype,Apolipoprotein B,R_0,NA,23439,23739,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Apolipoprotein B (DFP),Metabolomics,NA,NA,NA
Q1009,Phenotype,data_field_phenotype,Apolipoprotein B to Apolipoprotein A1 ratio,R_0,NA,23441,23741,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Apolipoprotein B to Apolipoprotein A1 ratio (DFP),Metabolomics,NA,NA,NA
Q1010,Phenotype,data_field_phenotype,Average Diameter for HDL Particles,R_0,NA,23433,23733,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Average Diameter for HDL Particles (DFP),Metabolomics,NA,NA,NA
Q1011,Phenotype,data_field_phenotype,Average Diameter for LDL Particles,R_0,NA,23432,23732,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Average Diameter for LDL Particles (DFP),Metabolomics,NA,NA,NA
Q1012,Phenotype,data_field_phenotype,Average Diameter for VLDL Particles,R_0,NA,23431,23731,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Average Diameter for VLDL Particles (DFP),Metabolomics,NA,NA,NA
Q1013,Phenotype,data_field_phenotype,Cholesterol in Chylomicrons and Extremely Large VLDL,R_0,NA,23484,23784,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in Chylomicrons and EL-VLDL (DFP),Metabolomics,NA,NA,NA
Q1014,Phenotype,data_field_phenotype,Cholesterol in IDL,R_0,NA,23526,23826,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in IDL (DFP),Metabolomics,NA,NA,NA
Q1015,Phenotype,data_field_phenotype,Cholesterol in Large HDL,R_0,NA,23561,23861,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in L-HDL (DFP),Metabolomics,NA,NA,NA
Q1016,Phenotype,data_field_phenotype,Cholesterol in Large LDL,R_0,NA,23533,23833,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in L-LDL (DFP),Metabolomics,NA,NA,NA
Q1017,Phenotype,data_field_phenotype,Cholesterol in Large VLDL,R_0,NA,23498,23798,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in L-VLDL (DFP),Metabolomics,NA,NA,NA
Q1018,Phenotype,data_field_phenotype,Cholesterol in Medium HDL,R_0,NA,23568,23868,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in M-HDL (DFP),Metabolomics,NA,NA,NA
Q1019,Phenotype,data_field_phenotype,Cholesterol in Medium LDL,R_0,NA,23540,23840,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in M-LDL (DFP),Metabolomics,NA,NA,NA
Q1020,Phenotype,data_field_phenotype,Cholesterol in Medium VLDL,R_0,NA,23505,23805,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in M-VLDL (DFP),Metabolomics,NA,NA,NA
Q1021,Phenotype,data_field_phenotype,Cholesterol in Small HDL,R_0,NA,23575,23875,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in S-HDL (DFP),Metabolomics,NA,NA,NA
Q1022,Phenotype,data_field_phenotype,Cholesterol in Small LDL,R_0,NA,23547,23847,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in S-LDL (DFP),Metabolomics,NA,NA,NA
Q1023,Phenotype,data_field_phenotype,Cholesterol in Small VLDL,R_0,NA,23512,23812,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in S-VLDL (DFP),Metabolomics,NA,NA,NA
Q1024,Phenotype,data_field_phenotype,Cholesterol in Very Large HDL,R_0,NA,23554,23854,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in VL-HDL (DFP),Metabolomics,NA,NA,NA
Q1025,Phenotype,data_field_phenotype,Cholesterol in Very Large VLDL,R_0,NA,23491,23791,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in VL-VLDL (DFP),Metabolomics,NA,NA,NA
Q1026,Phenotype,data_field_phenotype,Cholesterol in Very Small VLDL,R_0,NA,23519,23819,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol in VS-VLDL (DFP),Metabolomics,NA,NA,NA
Q1027,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage,R_0,NA,23580,23880,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol-Total Lipids in ChyloM and EL-VLDL  % (DFP),Metabolomics,NA,NA,NA
Q1028,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in IDL percentage,R_0,NA,23610,23910,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in IDL % (DFP),Metabolomics,NA,NA,NA
Q1029,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Large HDL percentage,R_0,NA,23635,23935,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in L-HDL % (DFP),Metabolomics,NA,NA,NA
Q1030,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Large LDL percentage,R_0,NA,23615,23915,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in L-LDL % (DFP),Metabolomics,NA,NA,NA
Q1031,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Large VLDL percentage,R_0,NA,23590,23890,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in L-VLDL % (DFP),Metabolomics,NA,NA,NA
Q1032,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Medium HDL percentage,R_0,NA,23640,23940,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in M-HDL % (DFP),Metabolomics,NA,NA,NA
Q1033,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Medium LDL percentage,R_0,NA,23620,23920,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in M-LDL % (DFP),Metabolomics,NA,NA,NA
Q1034,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Medium VLDL percentage,R_0,NA,23595,23895,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in M-VLDL % (DFP),Metabolomics,NA,NA,NA
Q1035,Phenotype,data_field_phenotype,Cholesterol to Total Lipids in Small HDL percentage,R_0,NA,23645,23945,all,first,53,21003,NA,NA,NA,1,0,NA,NA,NA,NA,IVNT,quant,named,Metabolomics,Cholesterol to Total Lipids in S-HDL % (DFP),Metabolomics,NA,NA,NA
