PheWAS_ID,phenotype,broad_category,range_ID,Case/control,Control_N,Case_N,C_1,N_1,G_1a,G_1b,CBB_1,CBA_1,O_1,OBB_1,OBA_1,C_2,N_2,G_2a,G_2b,CBB_2,CBA_2,O_2,OBB_2,OBA_2,C_3,N_3,G_3a,G_3b,CBB_3,CBA_3,O_3,OBB_3,OBA_3,C_4,N_4,G_4a,G_4b,CBB_4,CBA_4
P2026,Alzheimer's disease (CP),Phenotype,R_60,case,NA,case_1,C0005,2,minf,inf,NB,NB,NOT,NB,NB,C0045,1,0,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2026,Alzheimer's disease (CP),Phenotype,R_60,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0005,C0045",1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2019,Anaphylactic reactions (CP),Phenotype,R_225,case,NA,case_1,C0007,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2019,Anaphylactic reactions (CP),Phenotype,R_225,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0007,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2015,Aplastic anaemia (CP),Phenotype,R_56,case,NA,case_1,C0010,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2015,Aplastic anaemia (CP),Phenotype,R_56,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0010,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2020,Asthma (CP),Phenotype,R_99,case,NA,case_1,C0011,2,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2020,Asthma (CP),Phenotype,R_99,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0011,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2016,Bleeding events,Phenotype,R_0,case,NA,case_1,"C0026,C0017,C0028,C0029","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2016,Bleeding events,Phenotype,R_0,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0026,C0028,C0029,C0017","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2029,Gastrointestinal bleed,Phenotype,R_0,case,NA,case_1,C0026,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2029,Gastrointestinal bleed,Phenotype,R_0,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0026,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2030,Cerebral haemorrhage,Phenotype,R_0,case,NA,case_1,C0017,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2030,Cerebral haemorrhage,Phenotype,R_0,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0017,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2031,Haemarthrosis,Phenotype,R_0,case,NA,case_1,C0028,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2031,Haemarthrosis,Phenotype,R_0,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0028,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2032,Haemothorax,Phenotype,R_0,case,NA,case_1,C0029,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2032,Haemothorax,Phenotype,R_0,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0029,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1001,carpal_tunnel_wider,Concept,NA,case,NA,case_1,"C0015,C0014,P5098","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2034,Carpal tunnel syndrome,Phenotype,R_71,case,NA,case_1,"C0015,C0014,P5098","2,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2034,Carpal tunnel syndrome,Phenotype,R_71,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0015,C0014","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035,Diabetes mellitus,Phenotype,R_42,case,NA,case_1,"C0019,C0020,C0021","3,3,3",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2035,Diabetes mellitus,Phenotype,R_42,case,NA,case_2,C0019,2,minf,inf,NB,NB,AND,NB,NB,C0021,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035,Diabetes mellitus,Phenotype,R_42,case,NA,case_3,C0019,2,minf,inf,NB,NB,AND,NB,NB,C0020,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035,Diabetes mellitus,Phenotype,R_42,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0019,C0020,C0021","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035.1,Type 1 diabetes,Phenotype,R_42,case,NA,case_1,C0081,3,minf,inf,NB,NB,NOT,NB,NB,C0082,2,1,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035.1,Type 1 diabetes,Phenotype,R_42,case,NA,case_2,C0081,2,minf,inf,NB,NB,AND,NB,NB,C0083,1,minf,inf,NB,NB,NOT,NB,NB,C0082,2,1,inf,NB,NB,,,,,,,,,
P2035.1,Type 1 diabetes,Phenotype,R_42,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0019,C0020,C0021","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035.2,Type 2 diabetes,Phenotype,R_42,case,NA,case_1,C0082,3,minf,inf,NB,NB,NOT,NB,NB,C0081,2,1,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2035.2,Type 2 diabetes,Phenotype,R_42,case,NA,case_2,C0082,2,minf,inf,NB,NB,AND,NB,NB,C0083,1,minf,inf,NB,NB,NOT,NB,NB,C0082,2,1,inf,NB,NB,,,,,,,,,
P2035.2,Type 2 diabetes,Phenotype,R_42,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0019,C0020,C0021","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2007.1,Drug induced liver injury,Phenotype,R_118,case,NA,case_1,C0039,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2007.1,Drug induced liver injury,Phenotype,R_118,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0039,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2018,Hearing loss (CP),Phenotype,R_82,case,NA,case_1,"C0031,P5052","2,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2018,Hearing loss (CP),Phenotype,R_82,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0031,P5052,P5054","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2039,Human immunodeficiency virus [HIV] (CP),Phenotype,R_3,case,NA,case_1,"C0033,C0034","2,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2039,Human immunodeficiency virus [HIV] (CP),Phenotype,R_3,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0033,C0034","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2040,Huntington's Disease,Phenotype,R_67,case,NA,case_1,C0035,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2040,Huntington's Disease,Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0035,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2041,Leprosy (CP),Phenotype,R_2,case,NA,case_1,C0036,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2041,Leprosy (CP),Phenotype,R_2,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0036,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2007,Liver failure,Phenotype,R_118,case,NA,case_1,"C0038,C0039","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2007,Liver failure,Phenotype,R_118,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0038,C0039","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2210,Migraine (primary care),Phenotype,R_69,case,NA,case_1,"C0040,P5103","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2210,Migraine (primary care),Phenotype,R_69,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0040,C0030,P5103","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2042,Multiple sclerosis (CP),Phenotype,R_67,case,NA,case_1,C0041,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2042,Multiple sclerosis (CP),Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0041,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2013,Myocardial infarction (CP),Phenotype,R_85,case,NA,case_1,C0042,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2013,Myocardial infarction (CP),Phenotype,R_85,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0042,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
C1006,parkinsons_cases,Concept,NA,case,NA,case_1,C0049,1,minf,inf,NB,NB,AND,NB,NB,C0080,2,-30,inf,NB,NB,NOT,NB,NB,C0058,1,1,inf,NB,NB,,,,,,,,,
P2023,Parkinson's disease (+ medication),Phenotype,R_67,case,NA,case_1,C1006,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2023,Parkinson's disease (+ medication),Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0049,C0080,C0058","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2024,Parkinson's disease simple,Phenotype,R_67,case,NA,case_1,C0049,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2024,Parkinson's disease simple,Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0049,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2009,Prolonged QTc,Phenotype,R_89,case,NA,case_1,C0055,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2009,Prolonged QTc,Phenotype,R_89,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0055,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2022,Rhabdomyolysis (CP),Phenotype,R_194,case,NA,case_1,C0056,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2022,Rhabdomyolysis (CP),Phenotype,R_194,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0056,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2002,Seizures (CP),Phenotype,R_67,case,NA,case_1,"C0059,C0023","2,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2002,Seizures (CP),Phenotype,R_67,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0059,C0023","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2000,Steven Johnson Syndrome,Phenotype,R_228,case,NA,case_1,C0067,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2000,Steven Johnson Syndrome,Phenotype,R_228,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0067,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2003,Stroke/Cerebrovascular events (CP),Phenotype,R_91,case,NA,case_1,C0068,2,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2003,Stroke/Cerebrovascular events (CP),Phenotype,R_91,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0068,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2003.1,Hemorrhagic stroke (CP),Phenotype,R_91,case,NA,case_1,C0084,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2003.1,Hemorrhagic stroke (CP),Phenotype,R_91,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0068,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2003.2,Ischemic stroke (CP),Phenotype,R_91,case,NA,case_1,C0085,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2003.2,Ischemic stroke (CP),Phenotype,R_91,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0068,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2011,Sudden cardiac death,Phenotype,R_89,case,NA,case_1,C0070,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2011,Sudden cardiac death,Phenotype,R_89,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0070,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2005,Suicide ideation/attempts (CP),Phenotype,R_62,case,NA,case_1,C0071,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2005,Suicide ideation/attempts (CP),Phenotype,R_62,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0071,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2001,Toxic Epidermal Necrolysis,Phenotype,R_228,case,NA,case_1,C0073,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2001,Toxic Epidermal Necrolysis,Phenotype,R_228,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0073,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2004,Transient ischemic events (CP),Phenotype,R_91,case,NA,case_1,C0074,2,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2004,Transient ischemic events (CP),Phenotype,R_91,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0074,C0068,C0069","1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2012,Acute coronary syndrome (CP),Phenotype,R_85,case,NA,case_1,C0077,2,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2012,Acute coronary syndrome (CP),Phenotype,R_85,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0077,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2010,Ventricular arrhythmias (CP),Phenotype,R_89,case,NA,case_1,C0078,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2010,Ventricular arrhythmias (CP),Phenotype,R_89,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0078,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P3000,Serious Infection (sepsis),Phenotype,R_232,case,NA,case_1,C0060,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3000,Serious Infection (sepsis),Phenotype,R_232,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0060,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P3001,Common cancers,Phenotype,R_0,case,NA,case_1,C0061,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3001,Common cancers,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0061,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2054,Chronic obstructive pulmonary disease (COPD clinical codes CP),Phenotype,R_99,case,NA,case_1,C0087,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2054,Chronic obstructive pulmonary disease (COPD clinical codes CP),Phenotype,R_99,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0087,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2055,Bronchiectasis (CP),Phenotype,R_99,case,NA,case_1,C0088,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2055,Bronchiectasis (CP),Phenotype,R_99,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0088,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2056,Alpha-1 antitrypsin deficiency (CP),Phenotype,R_99,case,NA,case_1,C0089,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2056,Alpha-1 antitrypsin deficiency (CP),Phenotype,R_99,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0089,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2057,Ever smoked,Phenotype,R_0,case,NA,case_1,P5007,1,minf,inf,NB,NB,NOT,NB,NB,P5008,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2057,Ever smoked,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,P5007,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2058,Family history Prostate cancer,Phenotype,R_0,case,NA,case_1,"C0090,P5013,P5025,P5037","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2058,Family history Prostate cancer,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0090,P5013,P5025,P5037","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2059,Family history Severe depression,Phenotype,R_0,case,NA,case_1,"C0092,P5014,P5026,P5038","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2059,Family history Severe depression,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0092,P5014,P5026,P5038","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2060,Family history Parkinson's disease,Phenotype,R_0,case,NA,case_1,"C0091,P5015,P5027,P5039","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2060,Family history Parkinson's disease,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0091,P5015,P5027,P5039","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2061,Family history Alzheimer's disease/dementia,Phenotype,R_0,case,NA,case_1,"C0093,P5016,P5028,P5040","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2061,Family history Alzheimer's disease/dementia,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0093,P5016,P5028,P5040","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2062,"Family history Diabetes	",Phenotype,R_0,case,NA,case_1,"C0094,P5017,P5029,P5041","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2062,"Family history Diabetes	",Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0094,P5017,P5029,P5041","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2063,Family history High blood pressure,Phenotype,R_0,case,NA,case_1,"C0095,P5018,P5030,P5042","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2063,Family history High blood pressure,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0095,P5018,P5030,P5042","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2064,Family history Chronic bronchitis/emphysema,Phenotype,R_0,case,NA,case_1,"C0096,P5019,P5031,P5043","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2064,Family history Chronic bronchitis/emphysema,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0096,P5019,P5031,P5043","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2065,Family history Breast cancer,Phenotype,R_0,case,NA,case_1,"C0097,P5020,P5032,P5044","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2065,Family history Breast cancer,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0097,P5020,P5032,P5044","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2066,Family history Bowel cancer,Phenotype,R_0,case,NA,case_1,"C0098,P5021,P5033,P5045","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2066,Family history Bowel cancer,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0098,P5021,P5033,P5045","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2067,Family history Lung cancer,Phenotype,R_0,case,NA,case_1,"C0099,P5022,P5034,P5046","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2067,Family history Lung cancer,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0099,P5022,P5034,P5046","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2068,Family history Stroke,Phenotype,R_0,case,NA,case_1,"C0100,P5023,P5035,P5047","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2068,Family history Stroke,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0100,P5023,P5035,P5047","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2069,Family history Heart disease,Phenotype,R_0,case,NA,case_1,"C0101,P5024,P5036,P5048","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2069,Family history Heart disease,Phenotype,R_0,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0101,P5024,P5036,P5048","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2070,Tinnitus (CP),Phenotype,R_82,case,NA,case_1,"C0102,P5049,P5050,P5051","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2070,Tinnitus (CP),Phenotype,R_82,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0102,P5049,P5050,P5051","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2071,Tinnitus (severe CP),Phenotype,R_82,case,NA,case_1,P5050,1,minf,inf,NB,NB,AND,NB,NB,P5051,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2071,Tinnitus (severe CP),Phenotype,R_82,control,control_1,NA,all_pop,1,minf,inf,NB,NB,NOT,NB,NB,"C0102,P5049,P5050,P5051","1,1,1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2072,Chronic dry cough,Phenotype,R_0,case,NA,case_1,P5107,1,minf,inf,NB,NB,NOT,NB,NB,P5109,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2072,Chronic dry cough,Phenotype,R_0,control,control_1,NA,P5107,0,minf,inf,NB,NB,NOT,NB,NB,"P5107,P5109","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2074,Eosinophilia (case control),Phenotype,R_0,case,NA,case_1,Q0616,0.3,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2074,Eosinophilia (case control),Phenotype,R_0,control,control_1,NA,Q0616,0,minf,inf,NB,NB,NOT,NB,NB,Q0616,0.3,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2075,Emphysema,Phenotype,R_99,case,NA,case_1,C0105,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2075,Emphysema,Phenotype,R_99,control,control_1,NA,primary_care_pop,1,minf,inf,NB,NB,NOT,NB,NB,C0105,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,
P2073,Irritable Bowel Syndrome (CP),Phenotype,R_0,case,NA,case_1,"C0103,P5089","1,1",minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2073,Irritable Bowel Syndrome (CP),Phenotype,R_0,case,NA,case_2,C1007,1,minf,inf,NB,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
